ville,département,nombre
Changé,Sarthe,1
Alby-sur-Chéran,Haute-Savoie,2
Levallois-Perret,,1
Pessac,,1
Deuil-la-Barre,,1
Meaux,,3
Cherbourg,,1
,Loire,18
Havre,,1
Pace,Ille-et-Vilaine,4
Rennes,Ille-et-Vilaine,5
Dol-de-Bretagne,Ille-et-Vilaine,1
Foug�res,Ille-et-Vilaine,3
Valenciennes ,Hauts-de-France ,1
Nice,,2
Manosque,,1
Vizille,,1
Villefontaine,,1
Saint-Just-Saint-Rambert,Loire,2
Laval,Mayenne,24
Chazelles-sur-Lyon,Loire,2
Le Mans,Sarthe,1
Lamballe-Armor,,1
Lillers,,1
Firminy,Loire,1
Saint-�tienne,Loire,2
Sury-le-Comtal,Loire,1
Saint-Galmier,Loire,1
Montbrison�,Loire,1
P�lussin,Loire,1
Renaison,Loire,1
Versailles,,1
Thizy-les-Bourgs,,1
Veauche ,,1
Hyères,Var ,1
La Seyne-sur-Mer,,1
Saint-Priest ,,1
Lamentin ,Guadeloupe ,1
Vonnas ,Ain ,1
